epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.5127,3.57943,4.56752,4.2861,0.00118,0.25,0.00133,0.0005,3.12785,4.71711,4.15912,6e-05,6e-05,6e-05
2,28.396,3.59051,4.73666,4.21019,0.00118,0.25,0.00515,0.00098,3.12792,4.7201,4.15907,0.000139538,0.000139538,0.000139538
3,41.1584,3.42941,4.36542,4.22607,0.00118,0.25,0.00259,0.00062,3.12882,4.72227,4.15851,0.000218548,0.000218548,0.000218548
4,56.1486,3.3703,4.24858,4.18737,0.00118,0.25,0.00191,0.00055,3.13024,4.72406,4.15694,0.00029703,0.00029703,0.00029703
5,70.4648,3.50206,4.2852,4.15564,0.00118,0.25,0.00183,0.00063,3.13126,4.72352,4.15542,0.000374984,0.000374984,0.000374984
6,84.1301,3.68695,4.20332,4.14455,0.00118,0.25,0.00098,0.00044,3.1351,4.71933,4.15289,0.00045241,0.00045241,0.00045241
7,97.8619,3.61203,4.37063,4.11592,0.00118,0.25,0.00157,0.00048,3.14149,4.70907,4.14817,0.000529308,0.000529308,0.000529308
8,110.227,3.07619,4.02688,4.06541,0.00118,0.25,0.00144,0.00054,3.14772,4.69805,4.1413,0.000605678,0.000605678,0.000605678
9,122.277,3.10728,3.91334,4.01177,0.00118,0.25,0.00133,0.00045,3.15336,4.67217,4.13274,0.00068152,0.00068152,0.00068152
10,134.298,3.34624,3.99929,3.97558,0.00118,0.25,0.00136,0.00049,3.15265,4.62433,4.12298,0.000756834,0.000756834,0.000756834
11,146.218,3.35395,3.84987,3.8724,0.00118,0.25,0.00145,0.00047,3.16859,4.5827,4.11728,0.00083162,0.00083162,0.00083162
12,158.208,3.19921,3.80348,3.85133,0.00118,0.25,0.0016,0.00045,3.21238,4.55233,4.12019,0.000905878,0.000905878,0.000905878
13,170.021,3.03759,3.5187,3.74134,0.00118,0.25,0.00106,0.00035,3.2337,4.48218,4.12165,0.000979608,0.000979608,0.000979608
14,181.416,2.9908,3.74162,3.64765,0.00098,0.20833,0.00131,0.00023,3.24543,4.4334,4.12376,0.00105281,0.00105281,0.00105281
15,193.099,2.95385,3.73053,3.63393,0.00098,0.20833,0.00158,0.00022,3.27534,4.44142,4.12133,0.00112548,0.00112548,0.00112548
16,204.524,2.83315,3.45518,3.49317,0.00059,0.125,0.00112,0.00021,3.3071,4.63425,4.13629,0.00119763,0.00119763,0.00119763
17,216.289,2.8547,3.48718,3.42208,0.00059,0.125,0.07201,0.01391,3.35487,4.87875,4.15617,0.00126925,0.00126925,0.00126925
18,227.932,2.71508,3.39442,3.47532,0.00078,0.16667,0.07213,0.02262,3.48873,5.03264,4.17913,0.00134034,0.00134034,0.00134034
19,239.586,2.70838,3.22291,3.26993,0.00098,0.20833,0.07232,0.02028,3.50765,4.76254,4.15333,0.0014109,0.0014109,0.0014109
20,251.286,2.67274,3.29581,3.16142,0.00098,0.20833,0.00154,0.00032,3.45472,4.41481,4.12864,0.00148093,0.00148093,0.00148093
21,265.075,2.65437,3.19937,3.21827,0.00151,0.29167,0.00232,0.00057,3.29737,4.33187,3.9633,0.00155044,0.00155044,0.00155044
22,278.265,2.53566,3.21208,3.03897,0.00282,0.25,0.00232,0.0007,3.0794,4.35092,3.96989,0.00161942,0.00161942,0.00161942
23,291.604,2.45492,3.01702,3.12626,0.00279,0.25,0.00226,0.00094,3.17091,4.29357,3.95179,0.00168787,0.00168787,0.00168787
24,304.87,2.40134,3.04063,2.97552,0.00218,0.25,0.07335,0.02679,3.25909,4.37962,4.0076,0.00175579,0.00175579,0.00175579
25,318.162,2.41774,2.91114,2.88498,0.0013,0.25,0.01682,0.00261,3.07603,4.43794,3.99919,0.00182318,0.00182318,0.00182318
26,331.65,2.57231,2.9137,3.00406,0.22829,0.125,0.10075,0.05448,2.77842,5.15055,4.05128,0.001835,0.001835,0.001835
27,345.119,2.34942,2.72418,2.81259,0.348,0.08333,0.09532,0.05045,2.80041,6.05483,3.94981,0.0018284,0.0018284,0.0018284
28,357.099,2.49412,3.02467,2.87819,0.2501,0.125,0.09811,0.03134,2.75484,4.87215,3.64435,0.0018218,0.0018218,0.0018218
29,368.76,2.48689,2.76814,2.8727,0.22729,0.08333,0.02951,0.0081,2.5898,5.01629,3.41695,0.0018152,0.0018152,0.0018152
30,380.199,2.33305,2.57002,2.76695,0.2228,0.08333,0.09175,0.04186,2.46076,6.00624,3.56379,0.0018086,0.0018086,0.0018086
31,392.027,2.3635,2.62566,2.81527,0.04794,0.16667,0.09091,0.04129,2.56863,17.7238,4.50185,0.001802,0.001802,0.001802
32,403.865,2.42855,2.70787,2.8625,0.01322,0.16667,0.01048,0.00517,2.79043,53.6464,6.27128,0.0017954,0.0017954,0.0017954
33,416.01,2.45953,2.81773,2.88983,0.01312,0.16667,0.00644,0.00321,2.9981,106.647,4.81884,0.0017888,0.0017888,0.0017888
34,427.722,2.2012,2.54782,2.51151,0.04242,0.08333,0.00766,0.00409,2.9706,8.58032,3.56835,0.0017822,0.0017822,0.0017822
35,439.227,2.39153,2.65444,2.71076,0.20459,0.125,0.04449,0.02295,2.95075,6.55047,3.52046,0.0017756,0.0017756,0.0017756
36,451.094,2.32234,2.79694,2.82266,0.65275,0.20833,0.24535,0.11814,2.36318,6.67812,3.98068,0.001769,0.001769,0.001769
37,464.391,2.38248,2.54097,2.71635,0.35045,0.20833,0.21896,0.08382,2.25331,5.13843,3.61057,0.0017624,0.0017624,0.0017624
38,476.414,2.15394,2.49956,2.66315,0.21952,0.25,0.18295,0.09313,2.11791,3.51448,3.19932,0.0017558,0.0017558,0.0017558
39,487.997,2.31099,2.42134,2.64234,0.47086,0.41667,0.27904,0.16854,2.09041,2.79873,2.76189,0.0017492,0.0017492,0.0017492
40,499.984,2.32546,2.34801,2.65834,0.56262,0.45833,0.47543,0.25646,1.99427,2.55633,2.74144,0.0017426,0.0017426,0.0017426
41,512.012,2.16803,2.15551,2.53078,0.20224,0.54167,0.25704,0.1313,1.98686,3.15463,2.84319,0.001736,0.001736,0.001736
42,524.677,2.04908,2.19398,2.44685,0.73094,0.5,0.56871,0.29937,1.97099,2.31633,2.63638,0.0017294,0.0017294,0.0017294
