epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,434.182,2.39083,2.67364,2.73951,0.03637,0.10526,0.03207,0.01928,2.51054,23.9295,5.23962,0.0017294,0.0017294,0.0017294
43,444.721,2.31346,2.64943,2.72036,0.04713,0.26316,0.02137,0.01002,2.71971,22.3194,4.7961,0.0017228,0.0017228,0.0017228
44,455.099,2.344,2.6296,2.77777,0.05783,0.26316,0.02196,0.00968,2.94985,17.5114,6.43377,0.0017162,0.0017162,0.0017162
45,465.536,2.67775,2.72063,2.81712,0.05783,0.26316,0.02196,0.00968,2.94985,17.5114,6.43377,0.0017096,0.0017096,0.0017096
46,475.908,2.12088,2.33176,2.58055,0.05265,0.05263,0.01337,0.00549,2.74244,9.76545,6.86626,0.001703,0.001703,0.001703
47,486.387,2.16448,2.48574,2.60068,0.08364,0.36842,0.06412,0.02235,2.2801,4.46642,4.85727,0.0016964,0.0016964,0.0016964
48,496.857,2.22354,2.64805,2.70908,0.12652,0.36597,0.10926,0.03968,2.19632,3.34324,3.6389,0.0016898,0.0016898,0.0016898
49,506.969,2.31179,2.49926,2.71841,0.12652,0.36597,0.10926,0.03968,2.19632,3.34324,3.6389,0.0016832,0.0016832,0.0016832
50,517.597,2.37146,2.43771,2.67498,0.70904,0.10526,0.17969,0.05474,2.18428,3.48613,3.48836,0.0016766,0.0016766,0.0016766
51,527.742,2.23524,2.27552,2.54891,0.04204,0.47368,0.03545,0.01474,2.4305,7.03073,3.00116,0.00167,0.00167,0.00167
52,537.965,2.43737,2.50513,2.65077,0.04922,0.52632,0.14005,0.07825,2.30777,13.5795,3.23859,0.0016634,0.0016634,0.0016634
53,548.215,2.21551,2.26528,2.55687,0.04922,0.52632,0.14005,0.07825,2.30777,13.5795,3.23859,0.0016568,0.0016568,0.0016568
54,558.493,2.09841,2.15452,2.47198,0.09664,0.57895,0.16913,0.06968,2.3812,14.1608,3.36848,0.0016502,0.0016502,0.0016502
55,568.758,2.40453,2.49494,2.75537,0.15608,0.63158,0.13208,0.06652,2.19798,7.03073,3.04734,0.0016436,0.0016436,0.0016436
56,578.965,2.16488,2.16668,2.50526,0.19173,0.73684,0.22839,0.10642,2.21158,4.01173,2.94763,0.001637,0.001637,0.001637
57,589.072,2.24919,2.1796,2.48762,0.19173,0.73684,0.22839,0.10642,2.21158,4.01173,2.94763,0.0016304,0.0016304,0.0016304
58,599.071,2.04804,2.14062,2.49465,0.97156,0.31579,0.4769,0.26165,2.09421,2.76891,2.71824,0.0016238,0.0016238,0.0016238
59,608.683,2.02626,2.04165,2.52848,0.95504,0.36842,0.55939,0.31651,1.89855,2.50215,2.69427,0.0016172,0.0016172,0.0016172
60,618.245,2.05444,2.08272,2.44736,0.89025,0.31579,0.48171,0.29612,1.97177,2.66949,2.68355,0.0016106,0.0016106,0.0016106
61,628.122,1.9865,2.03014,2.48204,0.89025,0.31579,0.48171,0.29612,1.97177,2.66949,2.68355,0.001604,0.001604,0.001604
62,637.679,2.00542,2.09172,2.46626,0.87105,0.47368,0.61617,0.3395,2.06021,2.09767,2.53817,0.0015974,0.0015974,0.0015974
63,647.36,2.09225,1.99437,2.44947,0.91092,0.63158,0.67935,0.39201,1.9876,1.85998,2.42307,0.0015908,0.0015908,0.0015908
64,657.445,2.0209,1.87233,2.36535,0.54834,0.52632,0.45612,0.20293,2.37073,2.55827,2.74165,0.0015842,0.0015842,0.0015842
